OrderID,OrderDate,ProductName,Category,Quantity,CostPrice,SellingPrice,TotalPrice,Profit,,,
GLF-1001,05/06/2023,Sheesham Wood Queen Bed,Bed,1,"25,000.00","35,000.00","35,000.00","10,000.00",,,
GLF-1002,12/06/2023,Wooden Coffee Table,Table,1,"6,500.00","8,000.00","8,000.00","1,500.00",,,
GLF-1003,21/06/2023,Dining Chair Set (Set of 4),Chair,1,"9,500.00","12,000.00","12,000.00","2,500.00",,,
GLF-1004,15/07/2023,Small Bookshelf,Custom,1,"5,500.00","7,500.00","7,500.00","2,000.00",,,
GLF-1005,02/08/2023,Teak Wood Diwan,Bed,1,"22,500.00","28,000.00","28,000.00","5,500.00",,,
GLF-1006,25/08/2023,Wooden Coffee Table,Table,1,"6,500.00","8,000.00","8,000.00","1,500.00",,,
GLF-1007,20/09/2023,Office Study Table,Table,1,"12,000.00","15,000.00","15,000.00","3,000.00",,,
GLF-1008,18/10/2023,3-Door Wooden Wardrobe,Wardrobe,1,"37,000.00","45,000.00","45,000.00","8,000.00",,,
GLF-1009,25/10/2023,Sofa (3+1+1),Sofa,1,"39,500.00","48,000.00","48,000.00","8,500.00",,,
GLF-1010,28/10/2023,Sheesham Dining Table (6-Seater),Table,1,"33,000.00","40,000.00","40,000.00","7,000.00",,,
GLF-1011,05/11/2023,King Size Bed with Storage,Bed,1,"44,000.00","55,000.00","55,000.00","11,000.00",,,
GLF-1012,09/11/2023,Sheesham Wood Queen Bed,Bed,1,"25,000.00","35,000.00","35,000.00","10,000.00",,,
GLF-1013,15/11/2023,Sheesham Dining Table (6-Seater),Table,1,"33,000.00","40,000.00","40,000.00","7,000.00",,,
GLF-1014,20/11/2023,Full Room Custom Set,Custom,1,"115,000.00","150,000.00","150,000.00","35,000.00",,,
GLF-1015,28/11/2023,Sofa (3+1+1),Sofa,1,"40,000.00","48,500.00","48,500.00","8,500.00",,,
GLF-1016,04/12/2023,3-Door Wooden Wardrobe,Wardrobe,1,"37,000.00","45,000.00","45,000.00","8,000.00",,,
